Serial-number, Stations,               Category,  Transmitter,  Fequency, Studio
111,    DHARMSHALA,                              ,   10 KW FM  ,                        103.4 Mhz, MP
112,    HAMIRPUR,                       LRS,         6 KW FM   ,                        101.8 Mhz, MP
113,    KASAULI,                        RELAY,       10 KW FM  ,                        107.2 Mhz,
114,    KINNAUR(KALPA),                 RELAY,       1 kW MW   ,                         1584 khz,
115,    KULLU,                          RELAY,       6 KW FM   ,                        102.5 Mhz,
116,    SHIMLA,                              ,       100 KW MW ,                          774 khz, TYPE III  UPLINK RNUNOP
117,    KEYLONG,                        LPT RELAY,   100 W   FM ,                  100.4 Mhz,
118,    RAMPUR,                         RELAY,       100 W   FM ,                  100.1 Mhz,
119,    BERTHEIN,                       RELAY,       100 W   FM ,                  100.1 MHz,
120,    MANDI,                          RELAY,       100 W   FM ,                  100.1 MHz,
121,    BILASPUR,                       RELAY,       100 W   FM ,                  100.1 Mhz,
122,    SUNDER NAGAR,                   RELAY,       100 W   FM ,                  100.1 MHz,
123,    MANALI,                         RELAY,       100 W   FM ,                  100.1 MHz,
124,    CHAMBA,                         RELAY,       100 W   FM ,                  100.1 MHz,
125,    CHAURIKHAS,                     RELAY,       100 W   FM ,                  100.1 MHz,
126,    JAMMU,                               ,       300 KW MW  ,                         990 khz, TYPE III UPLINK RNU
127,    KARGIL,                              ,       1 kW MW    ,                        1584 khz, MP
128,     KATHUA,              LRS,         10 KW FM             ,             102.2 Mhz, MP
129,     LEH,                    ,         20 KW MW             ,              1053 khz, MP UPLINK RNU
130,     POONCH,              LRS,         6 KW FM              ,            100.7 Mhz, MP
131,     SRINAGAR,               ,         300 KW MW            ,             1116 khz, TYPE IV UPLINK RNU
132,     BHADARWAH,              ,         6 KW FM              ,            101.0 Mhz,     MP
133,     KUPWARA,             RELAY,       20 kW MW             ,              1350 khz,
134,     KHALSI,              RELAY,       1 kW MW              ,              1485 khz,
135,     NAUSHERA,            RELAY,       20 KW MW             ,              1089 khz,
136,     RAJOURI,             RELAY,       10 KW FM             ,            101.9 Mhz,
137,     DRASS,               RELAY,       1 KW MW              ,              1485 khz,
138,     TIESURU,             RELAY,       1 KW MW              ,              1602 khz,
139,     NYOMA,               RELAY,       1 kW MW              ,              1485 khz,
140,     DISKIT,              RELAY,       1 KW MW              ,              1602 khz,
141,     PADUM,               RELAY,       1 KW MW              ,             1584 KHz,
142,    TITHWAL,             RELAY,      100 W FM               ,           102.3MHz,     VB
143,     URI,                 RELAY,       100 W FM             ,            100.1 MHz,
144,     MANGLADEVI FORT,     RELAY,       100 W FM             ,             100.1MHz,
145,     UDHAMPUR,            RELAY,       100 W FM             ,            103.1 MHz,
146,     GUREJ,               RELAY,       100 W FM             ,             100.5MHz,     VB
147,     TRAL,                RELAY,       100 W FM             ,             100.1MHz,     VB
148,     BIMBARGALLI,         RELAY,       100 W FM             ,             100.1MHz,
149,     PAHALGAM,            RELAY,       100 W FM             ,             100.1MHz,     VB
150,     CHAIBASA,            LRS,       6 KW FM                ,           101.7 Mhz,    MP
151,     DALTONGANJ,          LRS,       10 KW FM               ,             103 Mhz,    MP
152,     HAJARIBAGH,          LRS,       6 KW FM                ,           102.1 Mhz,    MP
153,     JAMSHEDPUR,             ,       1 kW MW                ,            1584 khz,    TYPE I
154,     RANCHI,                          100 KW MW             ,               549 khz,   TYPE IIUPLINK RNU
155,     DHANBAD,             LPT Relay,   100 W FM             ,            100.1 MHz,
156,     CHATRA,              LPT Relay,   100 W FM             ,            100.1 MHz,
157,     GHATSHILA,           LPT Relay,   100 W FM             ,            100.1 MHz,
158,     GUMLA,               LPT Relay,   100 W FM             ,            100.1 MHz,
159,     BOKARO,              LPT Relay,   100 W FM             ,            100.1 MHz,
160,     GIRIDIH,             LPT Relay,   100 W FM             ,            100.1 MHz,
161,     DEOGHAR,             LPT Relay,   100 W FM             ,            100.1 MHz,
162,     DUMKA,               LPT Relay,   100 W FM             ,            100.1 MHz,
163,     BANGALORE,                    ,   200 KW MW            ,               612 khz, TYPE IV Uplink News on Phone RNU
164,     BHADRAWATI,                   ,   20 kW MW             ,               675 khz,    TYPE I
165,     BELLARY,                      ,   10 KW FM             ,             103.3 mhz,
166,     BIJAPUR,             LRS,         6 KW FM              ,              101.8 Mhz,    MP
167,     CHITRADURG,          LRS,         6 KW FM              ,             102.6 Mhz,    MP
168,     DHARWAD,                ,         200 KW MW            ,               765 khz,    TYPE III RNU
169,     GULBARGA,               ,         20 kW MW             ,              1107 khz,    TYPE-I
170,     HASSAN,                 ,         6 KW FM              ,              1107 khz,    MP
171,    HOSPET,                        LRS,         10 KW FM    ,                      102.2 Mhz,    MP
172,    KARWAR,                        LRS,         3 KW FM     ,                      100.5 Mhz,    MP
173,    MANGALORE/UDIPI,                  ,          20 kW MW   ,                        1089 khz,    MP
174,    MERCARA (Madikeri),               ,          6 KW FM    ,                           103.1,
175,    MYSORE,                           ,          10 kW FM   ,                        1017 khz,    MP
176,    RAICHUR,                        LRS,         6 KW FM    ,                       102.1 Mhz,    MP
177,    SRINGERI,                       RELAY,       100 W FM   ,                        101 MHz ,    DTH Kannada
178,    TUMKUR,                         LPT RELAY,   100 W FM   ,                      100.1 MHZ,
179,    HOSDURG,                        LPT RELAY,   100 W FM   ,                      100.1 MHZ,
180,    DAVANGERE,                      LPT RELAY,   100 W FM   ,                      100.1 MHZ,
181,    SAGAR,                          LPT RELAY,   100 W FM   ,                      100.1 MHZ,
182,    KUMTA,                          LPT RELAY,   100 W FM   ,                      100.1 MHZ,
183,    ALLEPPY (Alappuzha),            RELAY,       200 KW MW  ,                         576 khz,
184,   CALICUT (Kozhikode),                  ,      100 KW MW   ,                        684 khz,    TYPE III RNU
185,   CANNANOR (Kannur),                    ,      6 KW FM     ,                      101.5 Mhz,    MP
186,   COCHIN (Kochi),                 LRS   ,      10 KW FM    ,                      102.3 Mhz,    MP
187,    IDUKKI (DEVIKULAM),                  ,       6 KW FM    ,                       101.4 Mhz,    MP
188,    TRICHUR (Thrissur),                  ,       100 KW MW  ,                         630 khz,    TYPE I
189,    THIRUVANANTHAPURAM,                  ,       20 KW MW   ,                        1161 khz, TYPE IV Uplink News on Phone RNU
190,    MANJERI,                        LRS  ,       3 KW FM   ,                  102.7 Mhz, MP
191,    PUNALUR,                        LPT RELAY,   100 W FM  ,                         100.1 MHZ,
192,    KALPETTA,                       LPT RELAY,   100 W FM  ,                        100.1 MHZ,
193,    KASARGODE,                      LPT RELAY,   100 W FM  ,                       103.7 MHZ,
194,    BALAGHAT,                       LRS   ,      6 KW FM   ,                        101.3 Mhz, MP
195,    BETUL,                          LRS   ,      6 KW FM   ,                        103.1 Mhz, MP
196,    BHOPAL,                               ,      10 KW MW  ,                         1593 khz, TYPE III UPLINK RNU
197,    CHHATARPUR,                           ,      20 kW MW  ,                           675 khz,   TYPE I
198,    CHHINDWARA,                     LRS   ,      6 KW FM   ,                        102.2 Mhz,    MP
199,    GUNA,                           LRS   ,      6 KW FM   ,                        102.3 Mhz,    MP
200,    GAWALIOR,                             ,      20 kW MW  ,                         1386 khz,    TYPE I
201,    INDORE,                               ,      200 KW MW ,                           648 khz,   TYPE III RNU
202,    JABALPUR,                             ,      200 KW MW ,                           801 khz,   TYPE I
203,    KHANDWA,                        LRS   ,      6 KW FM   ,                        101.2 Mhz,    MP
204,    PANCHMARHI,                     RELAY ,      100 W FM   ,                       100.1MHz,
205,    REWA,                                 ,      20 kW MW   ,                        1179 khz,    TYPE II
206,    SAGAR,                          LRS   ,      6 KW FM    ,                       102.6 Mhz,    MP
207,    SHAHDOL,                              ,      6 KW FM    ,                         102 Mhz,    MP
208,    SHIVPURI,                             ,      6 KW FM    ,                       100.2 Mhz,    MP
209,    MANDLA,                         LRS   ,     1 KW FM     ,                      100.4 Mhz,    MP
210,    RAJGARH,                        LRS   ,      3 KW FM    ,                       100.7 Mhz,    MP
211,    NEEMUCH,                        LPT RELAY,   100 W FM   ,                       100.1 Mhz,
212,    MANDSAUR,                       LPT RELAY,   100 W FM   ,                       100.1 Mhz,
213,    SATNA,                          LPT RELAY,   100 W FM   ,                       100.1 Mhz,
214,    HARDA,                          LPT RELAY,   100 W FM   ,                       100.1 Mhz,
215,    CHANDERI,                       LPT RELAY,   100 W FM   ,                       100.1 Mhz,
216,    UJJAIN,                         RELAY    ,   5 KW FM    ,                       102.5 Mhz,    Studio with Field Production & Voice
217,    RATLAM,                         LPT RELAY,  100 W FM    ,                      100.1 Mhz,
218,    JHABUA,                         LPT RELAY,   100 W FM   ,                       100.1 Mhz,
219,    AHMEDNAGAR,                     LRS      ,   6 KW FM    ,                       100.1 Mhz, MP
220,    AKOLA,                          LRS      ,   6 KW FM    ,                       102.4 Mhz, MP
221,    AURANGABAD,                              ,   10 KW FM   ,                       101.7 Mhz, TYPE II UPLINK RNU
222,    BEED,                           LRS      ,   6 KW FM    ,                       102.9 Mhz, MP
223,    CHANDRAPUR,                     LRS      ,   6 KW FM    ,                         103 Mhz, MP
224,    DHULE,                          LRS      ,   6 KW FM    ,                       100.5 Mhz, MP
225,     GHARCHIROLI,               RELEY,       100 W FM       ,                   101.8MHz,
226,     JALGAON,                        ,       20 kW MW       ,                     963 khz, TYPE I
227,     KOLHAPUR,                       ,       6 KW FM        ,                   102.7 Mhz, MP
228,     MUMBAI,                         ,       100 KW MW 'A'  ,                    1044 khz, TYPE IV Plus UPLINK RNU
229,    NAGPUR,                          ,      300 KW MW       ,                    585 khz ,  TYPE III RNU
230,     NANDED,                    LRS  ,       6 KW FM        ,                  101.1 Mhz ,   MP
